,0,1,2,3,4,5,6,7,8,9,10,11
0,,Uganda,West Africa,The Gambia,Mozambique,Mozambique,Tanzania,Tanzania,,Lesotho,Zimbabwe,Zimbabwe
1,,%,%,%,n,%,n,%,n,%,n,%
2,a)ASF categories,,,,,,,,,,,
3,Meat flesh,38.9,37.2,15.4,10,27.8,10,30.3,18,35.3,30,55.6
4,Offal,18.3,12.4,0,1,2.8,5,15.2,18,35-3,10,18.5
5,Other carcass components,5.6,0,0,0,,0,,4,7.8,0,
6,Fish and shellfish,24.6,39.8,69.2,20,55.6,11,33.3,0,,3,5.6
7,Milk,2.4,4.4,7.7,3,8.3,1,3.0,4,7.8,4,7.4
8,Eggs,5.6,2.7,7.7,2,5.6,4,12-1,7,13.7,3,5.6
9,nsects,4.8,3.5,0,0,,2,6.1,0,,4,7.4
10,b) Preparation,,,,,,,,,,,
11,Raw,29.4,38.1,46-2,24,66.7,16,51.5,24,52.9,39,72.2
12,"Cooked, dried or processed",70.6,61.9,53.8,12,33.3,16,48.5,24,47.1,15,27.8
13,c)Animal type,,,,,,,,,,,
14,Domestic livestock,70.6,54.0,30.8,15,41.7,20,60.6,51,100,46,85.2
15,"Fish, shellfish",24.6,39.8,69.2,20,55.6,11,33.3,0,,3,5.6
16,NVild foods,4.8,6.2,0,1,2.8,2,6-1,0,,5,9.3
17,d) Nature of data,,,,,,,,,,,
18,Original analysis,0,,0,0,11-1,0,,0,,0,
19,Calculated,0,57.5*,0,8,22-2,0,,45,88.2,0,
20,Borrowed,69.0,41.6*,84.6*,24,66.7,0,,45,88.2,0,
21,Not specified,0,0.9,0,0,,33,100,1,2.0,54,100
22,e) Origin of data,,,,,,,,23,,,
23,Africa,4.8,21.2,0,15,41.7,0,,18,45-18,0,
24,JSA,88.9,31.1,0,15,2.8,0,,18,35-3,0,
25,JK,0,8.1,30.8,1,2.8,0,,4,7.8,0,
26,Europe,0,24.5,0,0,,0,,0,,0,
27,Asia,6-3,8.8,0,0,,0,,0,,0,
28,otal ASF entries,0,6.2,69.21I,5,13.9,33,100,51,11.8,54,100
29,otal ASF entries,126,113,13,36,,33,,51,,54,
